Incident,Location,Reported,Occurred,Comments / Nature of Fire,Disposition,UCPDI#
:,,,,,,
Information,901 E. 58th St. (Mitchell ER),9/2/17 9:10 AM,9/2/17 8:35 AM,Staff member was scratched on the head while trying to restrain a patient,Closed,17-00733
:,,,,,,
Information,5821 S. Drexel (Peck Pavilion),9/3/17 7:14 AM,9/3/17 9:00 AM,Staff members observed mist in room N661 / CFD and Safety responded / Determined mist was steam from a defective pipe / No hazardous material,Closed,17-00734
Assist Other Agency,1449 E. 57th St.,9/3/17 3:01 PM,9/3/17 2:55 PM,Three teenaged suspects created a disturbance in a retail store off campus before fleeing on bicycles / UCPD officers located and detained two suspects who were turned over to CPD / Charged with assault and battery / CPD case,CPD / Arrest,17-00735
:,,,,,,
Battery / Domestic,5700 S. Maryland (CCD),9/4/17 9:43 AM,9/4/17 9:30 AM,Two visitors struck each other with fists during a domestic argument / Prosecution declined,Ex. Cleared,17-00736
:,,,,,,
Information,Cottage Grove between 53rd & 54th,9/5/17 2:13 AM,9/5/17 2:13 AM,Individual suffering an apparent heart attack transported to ER by CFD EMS,Closed,17-00737
Burglary,1118 E. 58th St. (Eckhart Hall),9/5/17 2:35 PM,9/4/17 to 9/5/17 8:20 PM to 12:30 PM,Unknown person(s) gained entry to office room 017 by forcing metal window grate / Computer power cord taken from desk,Open,17-00738
Traffic Crash,4859 S. Cottage Grove,9/5/17 3:28 PM,9/5/17 2:50 PM,3 UC owned vehicles damaged in minor traffic crash / No injuries reported / 2017MVA-00153,Closed,17-00739
Assist Other Agency,5254 S. Dorchester (Public Way),9/5/17 2:12 PM,9/5/17 2:10 PM,"Suspect seen firing a handgun off campus, damaging a parked vehicle before fleeing in a vehicle / UCPD officer detained suspect at 49th & Cottage Grove / Suspect identified by witness and arrested by CPD / CPD officers recovered handgun / CPD case JA419789",CPD / Arrest,17-00740
Medical Call,850 E. 61st St. (UCPD HQ),9/5/17 4:46 PM,9/5/17 4:46 PM,Individual  became ill / CFD EMS examined individual and referred to personal physician for follow up,Closed,17-00741
:,,,,,,
Theft,5721 S. Maryland,9/6/17 1:07 PM,9/6/17 10:00 AM to 12:50 PM,"Wallet taken from unattended, unsecured book bag left in the rear seat of a valet parked vehicle",Open,17-00742
:,,,,,,
Information / Theft from Person,5548 S. Hyde Park (Public Way),9/7/17 8:24 AM,9/7/17 7:55 AM,Unknown subject took cell phone from the hand of a person standing on the sidewalk off campus before fleeing to a waiting vehicle / CPD case,CPD,17-00743
Battery,1379 E. 53rd St. (Public Way),9/7/17 8:15 PM,9/7/17 8:10 PM,Security officer attempting to quell a fight on the street off campus was intentionally punched on the shoulder by subject / Suspect arrested by UCPD and charged with felony battery,Arrest,17-00744
Criminal Damage to Property,5700 S. Maryland (CCD),9/7/17 11:34 PM,9/7/17 8:45 PM,"Disturbed individual observed hitting computer keyboard with his fist, breaking the keyboard / Prosecution declined",Ex. Cleared,17-00745
:,,,,,,
Void,Void,Void,Void,Number generated in error,Void,17-00746
Information / Armed Robbery,4612 S. Woodlawn (Public Way),9/8/17 1:15 PM,9/8/17 1:10 PM,"Unknown suspect, armed with a handgun, took a wallet and cell phone from a victim on the street off campus / Suspect fled in a black, 4-door, late model Chevrolet with a possible partial Arizona license plate containing the digits 13246 / CPD case JA423489",CPD,17-00747
:,,,,,,
Information / Aggravated Battery,820 E. 46th St. (Public Way),9/9/17 1:45 PM,9/9/17 1:45 PM,Victim exiting vehicle parked on the street off campus suffered gunshot wounds to the hip and torso after an unknown person fired shots from a passing black Infiniti that went westbound on 46th St. / Victim transported to the hospital by CFD EMS / CPD case JA424787,CPD,17-00748
:,,,,,,
Battery,901 E. 58th St. (Mitchell ER),9/10/17 6:07 AM,9/10/17 5:55 AM,Subject struck a staff member and made threats to a second staff member placing him in fear of receiving bodily harm,Arrest,17-00749
Criminal Damage to Property,5530 S. Ellis (Ratner A.C.),9/10/17 1:10 PM,9/9/17 to 9/10/17 6:00 PM to 8:00 AM,Unknown person damaged lock on locker in secured locker room / Nothing missing from locker,Open,17-00750
Information / Armed Robbery,831 E. 46th St. (Rear Parking Lot),9/10/17 10:43 PM,9/10/17 9:30 PM,"Unknown suspect, armed with a handgun, forcibly took cash from a victim in a parking lot off campus / CPD case JA426431",CPD,17-00751
:,,,,,,
Theft,860 E. 59th St. (Goldblatt),9/11/17 10:48 AM,9/7/17 to 9/10/17 1:00 PM to 5:00 PM,Purse taken from secured office,Open,17-00752
Information,6200 S. Drexel (Public Way),9/11/17 11:59 AM,9/11/17 11:58 AM,UCPD officer observed an individual displaying a handgun on the street off campus / Suspect ran to a waiting vehicle and fled southbound / Suspect located hiding in the alley in the 800 block of E. 64th Pl. / Weapon not found / Suspect arrested by CPD for violation of parole / CPD case JA427100,CPD / Arrest,17-00753
Lost Property,1100 E. 57th St. (Regenstein Library),9/11/17 8:36 AM,9/9/17 10:00 AM to 12:00 PM,Individual lost wallet while in the library,Closed,17-00754
Void,Void,Void,Void,Number generated in error,Void,17-00755
Void,Void,Void,Void,Number generated in error,Void,17-00756
:,,,,,,
Theft,860 E. 59th St. (Goldblatt),9/12/17 2:44 PM,9/12/17 1:00 PM to 2:15 PM,"Wallet taken from unattended, unsecured purse left in unsecured office",Open,17-00757
Theft,5700 S. Maryland (CCD),9/12/17 2:46 PM,9/12/17 2:30 PM,Suspect took cell phone from charger in nurse's station / Suspect detained by UCM Public Safety Officer and arrested by UCPD,Arrest,17-00758
Information / Aggravated Robbery / Vehicular Hijacking,5300 S. Dorchester (Public Way),9/12/17 5:16 PM,9/12/17 5:10 PM,"Suspect, armed with a handgun, forced two victims from a vehicle parked on the street off campus / Suspect entered the vehicle and drove northbound on S. Kenwood followed by an associate in another vehicle / CPD case JA428711",CPD,17-00759
Information,5700 S. Stony Island (Stony Island RH),9/12/17 5:40 PM,9/12/17 5:20 PM,Individual seen tampering with bicycles secured to bike rack was issued a warning not to trespass on UC property,Closed,17-00760
:,,,,,,
Information,950 E. 59th St. (Billings Hospital),9/13/17 11:59 AM,9/12/17 6:00 PM,Unknown person attempted to use physician's DEA number to purchase controlled drugs / DEA investigating,DEA,17-00761
Information,5824 S. Stony Island (Child Development Center),9/13/17 3:04 PM,9/12/17 to 9/13/17 6:00 PM to 9:00 AM,Acquaintance used victim's Grub Hub account to purchase food without victim's knowledge / Referred to CPD,CPD,17-00762
:,,,,,,
Assist Other Agency / Recovered Motor Vehicle,5130 S. Lake Park,9/14/17 10:50 AM,9/14/17 10:50 AM,UCPD officers observed an occupied vehicle reported stolen to CPD / Wanted vehicle sped off and crashed into another vehicle / Suspect detained by UCPD and turned over to CPD / CPD case JA430812,CPD,17-00763
Traffic Crash,1525 E. 53rd St.,9/14/17 12:53 PM,9/14/17 12:53 PM,"UC owned vehicle involved in a minor traffic crash / Property damage only, no reported injuries / 2017 MVA-00159",Closed,17-00764
Information,5758 S. Maryland (DCAM),9/14/17 1:13 PM,9/14/17 8:30 AM,Individual reported a former co-worker's offensive behavior via text messages and phone calls / Victim wanted no action taken by UCPD at this time,Closed,17-00765
:,,,,,,
Found Property,5600 S. Ellis (Public Way),9/15/17 4:07 PM,9/15/17 3:40 PM,Individual found a set of three keys on a ring with a Mitsubishi fob on the sidewalk at 56th & Ellis / Turned over to UCPD for safekeeping,Closed,17-00766
:,,,,,,
Found Property,5720 S. University,9/16/17 3:15 PM,9/16/17 3:15 PM,A BMW key fob was found / Inventoried at UCPD HQ for safekeeping,Closed,17-00767
Void,Void,Void,Void,Number generated in error,Void,17-00768
Medical Call,University between 61st & 62nd St.,9/16/17 11:57 PM,9/16/17 11:57 PM,Ill person transported to ER by CFD EMS for evaluation and treatment,Closed,17-00769
:,,,,,,
Liquor Law Violation,5500 S. University (Campus North RH),9/17/17 12:56 AM,9/17/17 12:56 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS for evaluation and treatment,Referred,17-00770
Liquor Law Violation,5630 S. University (Max Palevsky RH),9/17/17 1:48 AM,9/17/17 1:48 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS for evaluation and treatment,Referred,17-00771
Liquor Law Violation,5757 S. University,9/17/17 2:19 AM,9/17/17 2:19 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS for evaluation and treatment,Referred,17-00772
Information / Burglary,Kimbark Between 53rd & 54th,9/17/17 2:47 PM,9/17/17 1:00 AM to 8:00 AM,Unknown person(s) entered off campus private apartment and took a wallet / CPD case,CPD,17-00773
Information / Robbery,Hyde Park between Greenwood & University,9/17/17 9:20 PM,9/17/17 9:15 PM,"Individual, in the hallway of off campus private apartment building , was approached from behind by an unknown suspect who demanded victim's wallet / After a brief struggle, the suspect took the victim's wallet and was last seen fleeing southbound on University / Victim reported no physical injuries / CPD case JA435625",CPD,17-00774
:,,,,,,
Liquor Law Violation,6031 S. Ellis (Granville-Grossman RH),9/18/17 3:58 AM,9/18/17 3:58 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS for evaluation and treatment,Referred,17-00775
Non-Criminal Damage to Property,5739 S. Woodlawn (McGiffert Parking Lot),9/18/17 12:32 PM,9/18/17 12:30 PM,"Forklift backed into a parked, unattended car / No injuries reported",Closed,17-00776
Information,5800 S. Stony Island (Earl Shapiro School Parking Lot),9/18/17 2:48 PM,9/18/17 2:40 PM,Staff member reports a vehicle jumped a concrete curb barrier and came close to striking him,Closed,17-00777
Medical Call,915 E. 60th St. (Logan Center),9/18/17 7:10 PM,9/18/17 7:10 PM,Ill person transported to the hospital by CFD EMS,Closed,17-00778
Liquor Law Violation,5500 S. University (Campus North RH),9/18/17 10:41 PM,9/18/17 10:41 PM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS for evaluation and treatment,Referred,17-00779
:,,,,,,
Theft,5721 S. Maryland (Comer Hospital),9/19/17 12:07 AM,9/18/17 5:00 PM to 6:00 PM,"Unattended, unsecured iPhone taken from bench in waiting area",Open,17-00780
Liquor Law Violation,1414 E. 59th St. (International House),9/19/17 1:59 AM,9/19/17 1:59 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS for evaluation and treatment,Referred,17-00781
Battery,5700 S. University (Public Way),9/19/17 7:08 PM,9/19/17 6:50 PM,Unknown individual passing out pamphlets on the sidewalk spit on contract security officer after being warned not to force pamphlets on to passersby / Suspect fled before notification to UCPD / Follow up investigation revealed no battery occurred / Unfounded,Unfounded,17-00782
Information / Aggravated Battery,818 E. 45th St. (Public Way),9/19/17 11:15 PM,9/19/17 11:15 PM,"A driver and two passengers sitting in a car stopped on the street off campus suffered gunshot wounds as a result of shots being fired from a passing vehicle / The 3 victims, none affiliated with the University, were transported to hospitals by CFD EMS / CPD case JA438554",CPD,17-00783
:,,,,,,
Information,850 E. 61st St. (UCPD HQ),9/20/17 9:38 AM,9/20/17 9:38 AM,"Individual no longer owns a handgun, turned in live ammunition to UCPD for proper disposal",Closed,17-00784
Deceptive Practice,5700 S. Maryland (CCD),9/20/17 11:17 AM,9/19/17 to 9/20/17 9:15 PM to 9:40 AM,"Person lost a wallet while in the hospital / Unknown, unauthorized subject, used a credit card from the wallet to make a purchase",Open,17-00785
Battery,1101 E. 57th St. (Public Way),9/20/17 12:15 PM,9/20/17 12:13 PM,"Subject, not known to victim, walking westbound on 57th St., without provocation, slapped an individual on the head with an open hand / UCPD officers located the suspect nearby and took him into custody",Arrest,17-00786
Lost Property,5700 S. Maryland (CCD),9/20/17 5:24 PM,8/2/17 6:00 AM to 8:00 AM,Staff member reports loss of gold metal ring / Ring was placed in a plastic work ID sleeve attached to a lanyard,Closed,17-00787
Theft,"5811 S, Ellis (Cobb Hall)",9/20/17 5:30 PM,9/20/17 1:00 PM to 4:55 PM,Wallet taken from unsecured gym bag placed under desk in unsecured office,Open,17-00788
:,,,,,,
Liquor Law Violation,5630 S. University (Max Palevsky RH),9/21/17 1:03 AM,9/21/17 1:03 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,17-00789
Interference with Public Officer,1365 E. Midway Pl.,9/21/17 11:52 AM,9/21/17 11:52 AM,Suspicious individual detained by UCPD officers gave a fictitious name when questioned / Arrested for obstructing justice,Arrest,17-00790
Theft,821 E. 55th St. (Stagg Field),9/21/17 5:20 PM,9/21/17 5:00 PM to 5:15 PM,Subject took back pack left unattended and unsecured in the stands adjacent to the track / UCPD officer located the suspect nearby / Suspect positively identified and back pack returned to owner / Victim refused to prosecute,"Ex, Cleared",17-00791
Theft,5700 S. Maryland (CCD Food Court),9/21/17 5:11 PM,9/21/17 5:08 PM,Victim left cell phone on a nearby table charging / Suspect took the phone and walked away / Victim confronted suspect who returned the phone and walked off / UCPD officers located the suspect in Washington Park carrying back pack taken from Stagg Field (see above 17-00791) / Victim identified suspect and signed complaint for theft,Arrest,17-00792
Lost Property,5530 S. Ellis (Ratner A.C.),9/21/17 6:26 PM,9/21/17 5:45 PM to 5:55 PM,Individual reports losing wallet and keys while in the building,Open,17-00793
Armed Robbery,811 E. 54th St. (Public Way),9/21/17 10:00 PM,9/21/17 9:55 PM,"Two suspects, one armed with a handgun, took property from two victims walking on the sidewalk off campus / Suspects fled southbound in the alley / UCPD officer detained two suspects on Cottage Grove between 59th & 60th St. / Victims identified the suspects / Handgun and victims' property recovered / Both suspects charged with armed robbery",Arrest,17-00794
:,,,,,,
Theft,5700 S. Maryland (CCD),9/22/17 8:48 AM,9/20/17 2:30 PM to 7:30 PM,"Unattended, unsecured backpack was taken from secured break room by unknown person / Complainant later reported that his backpack had been mistakenly moved by other staff members and later returned to him intact / No theft occurred",Unfounded,17-00795
Information,5812 S. Ellis (Surgery Brain Research),9/22/17 8:00 AM,9/22/17 7:45 AM,Unauthorized individual denied entry to food court became upset with staff member / Subject issued a trespass warning,Closed,17-00796
Information / Theft,5050 S. Lake Shore Dr.,9/22/17 2:06 PM,9/21/17 to 9/22/17 7:00 PM to 11:00 AM,Unsecured bicycle taken from bike room in off campus private apartment building / CPD case JA442109,CPD,17-00797
Lost Property,5811 S. Ellis (Cobb Hall),9/22/17 2:56 PM,9/21/17 2:30 PM to 3:30 PM,Individual reports losing cell phone between 5811 S. Ellis and 5500 S. Ellis,Closed,17-00798
Theft,970 E. 58th St. (Bookstore),9/22/17 5:04 PM,9/22/17 4:55 PM to 5:00 PM,"Unsecured, unattended backpack left on the floor under table was taken by an unknown person",Open,17-00799
VOID,VOID,VOID,VOID,Number generated in error,VOID,17-00800
:,,,,,,
Information,5550 S. University (Crown Field House),9/23/17 12:55 PM,9/23/17 12:45 PM,"Item, prohibited on campus, was sent to individual / Item to be returned to sender",Closed,17-00802
Theft,6054 S. Drexel (Public Way),9/23/17 4:28 PM,9/23/17 1:30 PM,Unknown subject reached into open window of vehicle parked at the curb and took a cell phone before fleeing northbound on Drexel,Open,17-00803
:,,,,,,
Liquor Law Violation,5630 S. University (Max Palevsky RH),9/24/17 3:59 AM,9/24/17 3:59 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS for evaluation and treatment,Referred,17-00804
Theft,860 E. 59th St. (Goldblatt Bike Rack),9/24/17 5:35 PM,6/13/17 to 6/14/17 7:00 PM to 10:00 AM,Individual reports secured bicycle taken from bike rack in delayed report,Open,17-00805
:,,,,,,
Medical Call,1362 E. 59th St. (Lab School),9/25/17 11:01 AM,9/25/17 11:01 AM,Individual suffering an allergic reaction transported to Comer ER by CFD EMS for evaluation and treatment,Closed,17-00806
Void,Void,Void,Void,Number generated in error,Void,17-00807
Void,Void,Void,Void,Number generated in error,Void,17-00808
Theft,6031 S. Ellis (Granville-Grossman RH Bike Rack),9/25/17 6:09 PM,8/18/17 to 9/21/17 5:00 PM to 12:00 PM,Two secured bicycles taken from bike rack,Open,17-00809
:,,,,,,
Theft,5225 S. Cottage Grove (Facilities Services),9/26/17 8:55 AM,9/22/17 to 9/25/17 3:35 PM to 10:00 AM,Refrigerant canister taken from under desk in main warehouse / Follow up investigation revealed the suspect to be an employee / Prosecution declined / To be handled internally,Ex. Cleared,17-00810
Theft,6031 S. Ellis (Granville-Grossman RH),9/26/17 12:56 PM,6/10/17 to 9/22/17 6:00 AM to 11:30 AM,Bicycle tire pump taken from bike room,Open,17-00811
Void,Void,Void,Void,Number generated in error,Void,17-00812
Recovered Motor Vehicle,5416 S. Ellis,9/26/17 11:52 PM,9/26/17 11:52 PM,"UCPD officer, notified by in-car license plate reader, recovered an unoccupied, parked vehicle that had previously been reported stolen to CPD / CPD case JA446279",CPD,17-00813
:,,,,,,
Lost Property,1101 E. 56th St. (Max Palevsky RH),9/27/17 2:37 PM,6/10/17 to 9/16/17 1:00 PM to 1:00 PM,Individual reports losing an employment authorization document,Closed,17-00814
Mental Health Transport,5555 S. Woodlawn (Student Counseling Services),9/27/17 3:01 PM,9/27/17 3:01 PM,Individual transported to ER for evaluation and treatment,Closed,17-00815
:,,,,,,
Traffic Crash,5226 S. Harper,9/28/17 12:43 PM,9/28/17 12:43 PM,UC owned vehicle involved in minor property damage crash / No injuries reported / 2017-MVA00165,Closed,17-00816
:,,,,,,
Information,1000 E. 54th Pl. (Public Way),9/29/17 1:51 AM,9/29/17 1:45 AM,An unknown suspect took property from three victims walking on the sidewalk off campus / CPD case,CPD,17-00817
Criminal Sexual Assault,5500 S. University (Campus North RH),9/29/17 11:19 AM,Unknown date and time,"DSS was notified by a Campus Security Authority that an undisclosed victim was sexually assaulted by an acquaintance during academic year 2016-2017/ Due to confidentiality of reporting, limited information is available regarding this incident",No Investigation Referred to Title IX Coordinator,CSA Report      17-025
Criminal Sexual Assault,5500 S. University (Campus North RH),9/29/17 11:22 AM,Unknown date and time,"DSS was notified by a Campus Security Authority that an undisclosed victim was sexually assaulted by a known individual during academic year 2016-2017/ Due to confidentiality of reporting, limited information is available regarding this incident",No Investigation Referred to Title IX Coordinator,CSA Report      17-026
Recovered Motor Vehicle,6144 S. University (Alley),9/29/17 9:45 AM,9/29/17 9:45 AM,UCPD officer recovered a vehicle previously reported stolen to CPD / the unoccupied vehicle was parked in an alley off campus,CPD,17-00818
Deceptive Practice / Fraudulent Check,1101 E. 56th St.,9/29/17 11:57 AM,9/10/17 to 9/26/17 10:00 AM to 1:00 PM,"Victim deposited funds into a ""business"" account and was reimbursed with fraudulent checks",Open,17-00819
Mental Health Transport,5555 S. Woodlawn (Student Counseling Services),9/29/17 12:22 PM,9/29/17 12:22 PM,Individual transported to ER for evaluation and treatment,Closed,17-00820
Theft,1330 E. 53rd St.,9/29/17 2:44 PM,9/29/17 2:40 PM,Subject took two bottles of vodka from store without paying / Subject located and arrested by UCPD officer,Arrest,17-00821
Theft,5607 S. Drexel (Alley - Bike Rack),9/29/17 9:24 PM,9/29/17 5:30 PM to 9:20 PM,Secured bicycle taken from bike rack,Open,17-00822
Liquor Law Violation,5500 S. University (Campus North RH),9/29/17 10:07 PM,9/29/17 10:07 PM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,17-00823
Liquor Law Violation,6031 S. Ellis (Granville-Grossman RH),9/29/17 11:00 PM,9/29/17 11:00 PM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,17-00824
:,,,,,,
Liquor Law Violation,5811 S. Ellis (Public Way),9/30/17 1:26 AM,9/30/17 1:26 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,17-00825
Information / Burglary,University between 56th & 57th,9/30/17 11:42 AM,9/29/17 to 9/30/17 10:00 PM to 11:00 AM,Unknown person(s) entered fraternity house taking property from two rooms / Referred to CPD,CPD,17-00826
:,,,,,,
Information / Traffic Crash / Personal Injuries,1001 E. Midway Pl.,10/1/17 5:50 AM,10/1/17 5:50 AM,Two vehicles involved in a traffic crash / Three individuals transported to hospitals by CFD EMS / CPD case JA453693,CPD,17-00827
:,,,,,,
Damage to Property,915 E. 60th St. (Logan Center),10/2/17 9:29 AM,9/30/17 to 10/1/17 11:00 PM to 7:30 PM,Podium in room 201 was damaged / Cause unknown at this time,Open,17-00828
Lost Property,5758 S. Maryland (DCAM),10/2/17 10:03 AM,9/11/17 to 9/22/17 8:00 AM to 8:00 AM,Staff member reports losing  a set of three UC Medicine issued Medco keys on a key ring,Closed,17-00829
Sexual Assault / Fondling,1414 E. 59th St. (I-House),10/2/17 10:17 AM,Unknown date and time,"DSS was notified by a Campus Security Authority that an undisclosed victim reported that she was fondled by an acquaintance in the residence hall during academic year 2016-2017 / Due to confidentiality of reporting, limited information is available regarding this incident",No Investigation Referred to Title IX Coordinator,CSA Report      17-027
Information / Burglary,52nd St. between Cottage Grove & Drexel,10/2/17 10:05 AM,10/2/17 10:05 AM,Resident of off campus apartment arrived at home and found front door of apartment forced open / Unknown suspects fled via rear door after taking various items / CPD case JA454997,CPD,17-00830
Information,6045 S. Kenwood,10/2/17 12:10 PM,9/25/17 12:00 PM,Report of suspicious letter received by staff member,Closed,17-00831
Theft,1116 E. 59th St. (Harper Library),10/2/17 1:19 PM,10/1/17 8:00 PM to 8:05 PM,"Unattended, unsecured backpack taken from room 145 / The backpack was later located intact / Case unfounded / No theft occurred",Unfounded,17-00832
:,,,,,,
Theft,5530 S. Ellis (Ratner A.C.),10/3/17 9:16 AM,10/1/17 3:45 PM to 5:00 PM,"Wallet taken from unattended, unsecured bag left near the swimming pool / Subsequent to investigation, suspect positively identified through video taking property / Wallet recovered, victim declined to prosecute",Ex. Cleared,17-00833
Harassment by Electronic Means,5700 S. Maryland (CCD),10/3/17 2:06 PM,10/3/17 12:00 PM to 1:00 PM,Individual received harassing phone call,Open,17-00834
Theft,950 E. 61st St. (Woodlawn S.S.C. Bike Rack),10/3/17 5:41 PM,10/3/17 1:00 PM to 5:00 PM,Secured bicycle taken from bike rack,Open,17-00835
:,,,,,,
Theft,5530 S. Ellis (Ratner A.C. Bike Rack),10/4/17 12:17 AM,10/3/17 2:30 PM to 11:30 PM,Secured bicycle taken from bike rack,Open,17-00836
Theft,5721 S. Maryland (Comer Hospital),10/4/17 10:19 AM,10/4/17 9:50 AM,Suspect took victim's unattended cell phone from charging station in lobby / Phone recovered / Victim declined prosecution,Ex. Cleared,17-00837
Lost Property,1100 E. 57th St. (Regenstein Library),10/4/17 11:52 AM,9/30/17 10:20 PM,Individual reported losing headphones in library,Closed,17-00838
Assault,5700 S. Maryland (CCD),10/4/17 5:16 PM,10/4/17 5:00 PM,Individual attempted to strike a UC Medicine staff member / Subject arrested by UCPD and charged with assault,Arrest,17-00839
Liquor Law Violation,1010 E. 59th St. (Quadrangle),10/4/17 11:07 PM,10/4/17 11:07 PM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS for evaluation and treatment,Referred,17-00840
Medical Call / Sick Person,1414 E. 59th St. (I-House),10/4/17 11:58 PM,10/4/17 11:58 PM,Sick person transported to ER by CFD EMS for evaluation and treatment,Closed,17-00841
:,,,,,,
Information,850 E. 58th St. (American School Bldg.),10/5/17 9:30 AM,10/4/17 to 10/5/17 9:55 AM to 7:40 AM,Information relating to telephone messages,Closed,17-00842
Information / Robbery,62nd & Ellis (Public Way),10/5/17 12:32 PM,10/4/17 6:20 PM,"Delayed report / Two unknown suspects used force to take iPhone, wallet, and headphones from a victim walking on the sidewalk off campus / Victim reported no injuries / Referred to CPD",CPD,17-00843
Theft,970 E. 58th St. (Bookstore),10/5/17 12:43 PM,10/5/17 12:40 PM,Subject was seen taking items of clothing from the store without paying / Subject arrested by responding UCPD officers,Arrest,17-00844
Information,850 E. 61st St. (UCPD HQ),10/5/17 10:00 AM,10/5/17 10:00 AM,Malfunction of ignition switch on UC owned Segway was reported,Closed,17-00845
Mental Health Transport,5555 S. Woodlawn (Student Counseling),10/5/17 3:51 PM,10/5/17 3:51 PM,Individual was transported to ER for evaluation and treatment,Closed,17-00846
:,,,,,,
Found Property,850 E. 61st St. (UCPD HQ),10/6/17 12:10 PM,10/5/17 6:00 PM,First Transit supervisor turned over a set of keys found on a UC Shuttle Bus / Keys returned to owner,Closed,17-00847
Void,Void,Void,Void,Number generated in error,Void,17-00848
Theft,1155 E. 60th St. (Harris School),10/6/17 6:19 PM,10/5/17 4:30 PM to 9:00 PM,"Unattended, unsecured backpack left in student lounge was taken by an unknown individual",Open,17-00849
:,,,,,,
Theft,1101 E. 56th St. (Max Palevsky RH),10/7/17 11:08 AM,9/30/17 12:00 PM to 11:00 PM,Bicycle chained to light pole was taken by unknown person,Open,17-00850
Information,970 E. 58th St.,10/7/17 12:51 PM,10/7/17 12:10 PM,Individual reported being bitten on the hand by a dog he tried to pet / Transported to ER for evaluation and treatment,Closed,17-00851
:,,,,,,
Liquor Law Violation,1005 E. 60th St. (Burton-Judson RH),10/8/17 12:39 AM,10/8/17 12:39 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,17-00853
Liquor Law Violation,1005 E. 60th St. (Burton-Judson RH),10/8/17 12:40 AM,10/8/17 12:40 AM,Underage individual became ill after consuming alcoholic beverages / Escorted to residence,Referred,17-00854
Information,850 E. 61st St. (UCPD HQ),10/8/17 1:44 AM,10/8/17 12:20 AM,Information relating to a posting on a social media site,Open,17-00855
Information / Disturbance,4200 S. Lake Park (Public Way),10/8/17 2:19 PM,10/8/17 2:19 PM,Officers responded to a domestic disturbance on the sidewalk off campus / Peace restored,Closed,17-00856
Information / Robbery,5000 S. Cornell (Public Way),10/8/17 8:36 PM,10/8/17 8:25 PM,2 unknown subjects took keys from a victim who had just parked and exited vehicle / Suspects ran to a white vehicle and fled northbound on Cornell / CPD case JA463710,CPD,17-00857
Aggravated Battery,5530 S. Ellis (Public Way),10/8/17 8:52 PM,10/7/17 11:00 PM,Delayed report / Individual walking on the sidewalk with a group of associates became involved in an argument with an acquaintance / The victim was struck on the back of his head with a metal tea kettle,Open,17-00858
:,,,,,,
Stalking,1155 E. 60th St. (Harris School),10/9/17 9:47 AM,Unknown dates and times,DSS was notified by a Campus Security Authority that an undisclosed victim reported being stalked by an ex-partner at the Harris School / Due to the confidentiality of reporting limited information is available regarding this incident,No Investigation Referred to Title IX Coordinator,CSA Report    17-029
Stalking,5835 S. Greenwood (Stuart Hall),10/9/17 9:50 AM,Unknown dates and times,DSS was notified by a Campus Security Authority that an undisclosed victim reported being stalked by a known individual while in Stuart Hall / Due to the confidentiality of reporting limited information is available regarding this incident,No Investigation Referred to Title IX Coordinator,CSA Report    17-030
Stalking,5500 S. University (Campus North RH),10/9/17 9:53 AM,Unknown dates and times,DSS was notified by a Campus Security Authority that an undisclosed victim reported being stalked by a known individual at various places including the Campus North Residence Hall / Due to confidentiality of reporting limited information is available regarding this incident,No Investigation Referred to Title IX Coordinator,CSA Report    17-031
Theft,1362 E. 59th St. (Lab School Bike Rack),10/9/17 10:31 AM,10/5/17 3:30 PM,Two secured bicycles taken from bike rack,Open,17-00859
Found Property,5800 S. Ellis (Public Way),10/9/17 7:59 PM,10/9/17 7:30 PM,Individual found wallet on the sidewalk and turned it over to UCPD for safekeeping,Closed,17-00860
Information / Robbery,"S. Woodlawn at 47th St,",10/9/17 11:38 PM,10/9/17 11:38 PM,Three unknown suspects forcibly took purse from the hands of victim walking on the street off campus / CPD case JA465200,CPD,17-00861
:,,,,,,
Theft,5706 S. University (Reynolds Club),10/10/17 12:22 PM,10/10/17 12:20 PM,"Subject took wallet from unattended book bag in 2nd floor lounge / Owner confronted suspect who then threw the wallet to the victim and fled / UCPD officers located suspect and took him into custody / Suspect charged with felony theft and an active warrant from Kane County, IL",Arrest,17-00862
Theft,Greenwood between 54th & 55th,10/10/17 2:19 PM,10/10/17 2:10 PM,Suspect seen taking a package from the front porch of a residence off campus / UCPD officers located the suspect who had two cell phones taken from the package / Victim refused to prosecute,Ex. Cleared,17-00863
